Sheet: Sheet1
[147 rows x 5 columns]
Column names: |State|Generator Status|Federal EPA ID Requirement|State EPA ID Requirement|Comments
0|AL|VSQG|NO (Yes for Oil generators over 300g )|NO|For V generator, CESQG allowed as US EPA ID
1|AL|SQG|YES|NO|For V generator, CESQG allowed as US EPA ID
2|AL|LQG|YES|NO|For V generator, CESQG allowed as US EPA ID
3|AR|VSQG|NO|NO|For V generator, CESQG allowed as US EPA ID
4|AR|SQG|YES|NO|For V generator, CESQG allowed as US EPA ID
5|AR|LQG|YES|NO|For V generator, CESQG allowed as US EPA ID
6|AZ|VSQG|NO|NO|For V generator, CESQG allowed as US EPA ID
7|AZ|SQG|YES|NO|For V generator, CESQG allowed as US EPA ID
8|AZ|LQG|YES|NO|For V generator, CESQG allowed as US EPA ID
9|CA|VSQG|YES (CAL or CAC used as US EPA ID)|NO|FOR V GENERATORS: State issued Federal replacement CAL or CAC typically used as EPA ID, CESQG is not permitted as an EPA ID, EXEMPT or NONEREQUIRED allowed in limited instances
10|CA|SQG|YES|NO|FOR V GENERATORS: State issued Federal replacement CAL or CAC typically used as EPA ID, CESQG is not permitted as an EPA ID, EXEMPT or NONEREQUIRED allowed in limited instances
11|CA|LQG|YES|NO|FOR V GENERATORS: State issued Federal replacement CAL or CAC typically used as EPA ID, CESQG is not permitted as an EPA ID, EXEMPT or NONEREQUIRED allowed in limited instances
12|CO|VSQG|NO (Yes for generators of F001, F002, F004 and/or F005)|NO|For V generator, CESQG allowed as US EPA ID
13|CO|SQG|YES|NO|For V generator, CESQG allowed as US EPA ID
14|CO|LQG|YES|NO|For V generator, CESQG allowed as US EPA ID
15|CT|VSQG|CTCESQG99999|NO|Only CTCESQG99999 is allowed for V generator as a generic EPA ID
16|CT|SQG|YES|NO|Only CTCESQG99999 is allowed for V generator as a generic EPA ID
17|CT|LQG|YES|NO|Only CTCESQG99999 is allowed for V generator as a generic EPA ID
18|DC|VSQG|YES|NO|CESQG not permitted as EPA ID with gen status of V
19|DC|SQG|YES|NO|CESQG not permitted as EPA ID with gen status of V
20|DC|LQG|YES|NO|CESQG not permitted as EPA ID with gen status of V
21|DE|VSQG|NO|NO|For V generator, CESQG allowed as US EPA ID
22|DE|SQG|YES|NO|For V generator, CESQG allowed as US EPA ID
23|DE|LQG|YES|NO|For V generator, CESQG allowed as US EPA ID
